molecule_chembl_id,canonical_smiles,standard_value,class
CHEMBL1416089,CCS(=O)(=O)c1ncc(Cl)c(C(=O)Nc2ccc(S(=O)(=O)N(C)c3ccccc3)cc2)n1,1000,active
CHEMBL1460748,Cc1ccc(S(=O)(=O)N(C(=O)c2ccncc2)c2ccc(OC(=O)c3ccncc3)c3ccccc23)c(C)c1,10000,active
CHEMBL1438646,CCCc1n[nH]c2c1C(c1ccc(OC(=O)N3CCOCC3)c(OC)c1)C(C#N)=C(N)O2,10000,active
CHEMBL1568102,CN1C(=O)C(Cc2ccc3c(c2)OCO3)C(=O)N(C)C1=O,10000,active
CHEMBL1643542,Cn1[nH]c(CSc2ccc(Cl)cc2)cc1=O,10000,active
CHEMBL1794157,CCCc1n[nH]c2c1C(c1ccc(OCCN3CCOCC3)c(OCC)c1)C(C#N)=C(N)O2,10000,active
CHEMBL1606613,COc1ccccc1-c1cc(C(F)(F)F)nc(S(C)(=O)=O)n1,10000,active
CHEMBL1310115,N#CC1(C#N)CC(C=O)=C(N)C1(C#N)CC(=O)C12CC3CC(CC(C3)C1)C2,10000,active
CHEMBL1392219,Cc1cc(C(c2ccc(O)cc2)c2cc(C)c(O)cc2C)c(C)cc1O,100100,inactive
CHEMBL1417929,O=C(NC1=C(NC2CCS(=O)(=O)C2)C(=O)c2ccccc2C1=O)c1ccccc1,101,active
CHEMBL1529115,Cc1ccc(NC(=O)C2=C(c3ccccc3)S(=O)(=O)CCS2(=O)=O)cc1,1010,active
CHEMBL1573427,Cc1ccc(SCC2=NNC(=O)C2)cc1,1010,active
CHEMBL3145223,Cc1[nH]n(-c2ccccc2)c(=O)c1C(c1ccc(O)c([N+](=O)[O-])c1)c1c(C)[nH]n(-c2ccccc2)c1=O,1010,active
CHEMBL590691,CC(=O)N(C1=C(N2CCOCC2)C(=O)c2ccccc2C1=O)c1ccc(C(=O)O)cc1,1010,active
CHEMBL1313412,Oc1cc(-c2ccc(C3CCCCC3)cc2)[nH]n1,1010,active
CHEMBL1794195,Cl.Nc1ccc(O)c2ccccc12,10100,active
CHEMBL1310969,COc1ccc(NC(=O)Cn2ncc(Cl)c(Cl)c2=O)cc1S(=O)(=O)N1CCOCC1,10100,active
CHEMBL1362545,O=[N+]([O-])c1cccc2c([As](=O)(O)O)cccc12,10100,active
CHEMBL1432348,O=C(CSC1=NCCS1)Nc1ccc(S(=O)(=O)N2CCCCCC2)cc1,10100,active
CHEMBL1603293,O=C(O)COc1cccc(/C=C2/SC(=S)N(Cc3ccccc3)C2=O)c1,10100,active
CHEMBL1998946,Oc1cccc(/C=N/c2cccc3ccccc23)c1O,10100,active
CHEMBL1415639,CCOC(=O)CC1=NN(c2ccccc2)C(=O)C1,10100,active
CHEMBL1548086,CCCCCCCCCCC[N+](C)(C)CC/C=C1/c2ccccc2Sc2ccc(Cl)cc21.[Br-],10100,active
CHEMBL1595992,COC(=O)c1n[nH]c(NC(=O)c2ccc(C(C)(C)C)cc2)n1,10100,active
CHEMBL1530209,O=C(Nc1cccc(OC(=O)c2ccco2)c1)c1ccco1,10100,active
CHEMBL1338327,O=[N+]([O-])c1c(NCc2ccco2)ccc2nonc12,10100,active
CHEMBL1544909,Cc1ccc2c(c1)N(C(=O)CSc1nncn1C)C(C)(C)c1ssc(=S)c1-2,10100,active
CHEMBL1576416,Oc1ncc(NCCc2ccccc2)c(O)n1,10100,active
CHEMBL3144926,COc1ccc(-c2cc(=O)n(CCC#N)[nH]2)cc1,1020,active
CHEMBL3192957,O=C(Cc1cc(O)n[nH]1)N/N=C/C(Cl)=C/c1ccccc1,1020,active
