SMILES,value,class,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAmideBonds,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumAtomStereoCenters,NumBridgeheadAtoms,NumHAcceptors,NumHDonors,NumHeteroatoms,NumHeterocycles,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,NumSpiroAtoms,NumUnspecifiedAtomStereoCenters,Phi,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
COc1ccc(cc1)S(=O)(=O)Nc1ccc(O)c2ccccc12,0.0478,1,12.51539541,12.51539541,0.104625402,-3.729811036,0.71979667,11.34782609,329.377,314.257,329.072179,118,0,0.261413763,-0.507308789,0.507308789,0.261413763,0.913043478,1.565217391,2.217391304,32.23327143,10.08870139,2.158809408,-2.11679214,2.315451187,-2.126682524,7.923528022,0.414169073,2.57524356,2.018216383,949.9942402,16.44938299,12.35370945,13.17020603,11.00916848,6.886961934,8.370125182,4.958860187,6.641262429,3.515115631,4.89652554,2.330728755,3.410480597,-2.73,183295.5356,15.17667884,5.811031205,2.932562966,133.753521,9.843390349,11.49902367,0,0,10.02329115,0,4.722094864,8.417796984,0,0,24.26546827,36.39820241,10.77244843,17.69266729,18.26118733,26.48312586,0,0,0,4.895483476,11.83189241,60.66367068,0,11.49902367,9.458957818,5.687386275,11.49902367,0,20.63412192,10.02329115,0,0,65.55915416,0,10.77244843,0,75.63,10.02329115,13.52432438,0,10.64499531,22.20934654,0,25.30889875,42.46456948,0,4.722094864,4.736862954,32.62127621,0,0.134681595,11.09239805,0.411313014,0.687063567,16.18155307,0,0,-2.211618839,0.058823529,23,2,5,0,0,0,0,3,0,3,0,0,4,2,6,0,4,0,0,0,0,0,3.834441493,3,3.3548,89.4153,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Cn1ncnc2c1nc(=O)n(C)c2=O,0.0902,1,11.52064815,11.52064815,0.143148148,-0.603796296,0.501498901,10.71428571,193.166,186.11,193.0599745,72,0,0.351881152,-0.266588827,0.351881152,0.266588827,1.285714286,2,2.714285714,16.16002557,10.38014753,2.149072293,-2.060378408,2.036171362,-2.360952554,5.462953801,0.673589706,2.166079166,3.049109619,569.4048514,10.29252874,7.629914828,7.629914828,6.609060905,3.860714047,3.860714047,2.814407089,2.814407089,1.925695393,1.925695393,1.114189799,1.114189799,-2.05,1661.38272,8.543908856,2.723795391,1.020247471,78.00708708,0,6.327320075,11.51833249,0,5.559266895,5.689743398,9.361636832,14.46031864,10.08266033,0,0,0,14.09534397,0,0,0,0,24.31554143,14.09534397,0,0,27.16540474,0,11.51833249,11.24901029,0,0,0,24.31554143,14.09534397,0,0,15.91639444,0,11.51833249,0,82.67,11.24901029,9.589074368,0,11.51833249,0,4.567099648,18.05679499,7.047671983,0,15.06663885,0,2.250462963,0,30.16741119,3.775222978,-0.920833333,0.195,0,1.245922147,0,2.953480726,0.285714286,14,0,7,0,2,2,0,0,0,0,0,0,7,0,7,2,0,0,0,0,0,0,1.662275683,2,-1.6262,46.931,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cc1ccc2[nH]c3CCN(Cc3c2c1)C(=O)CN1CCSCC1,0.132,1,12.66826357,12.66826357,0.281993575,0.281993575,0.919582613,19.08695652,329.469,306.285,329.1561834,122,0,0.236562642,-0.358040438,0.358040438,0.236562642,1.260869565,2.086956522,2.913043478,32.16649214,10.03035277,2.25143246,-2.312114871,2.281998809,-2.444240452,7.988822761,-0.132800349,2.926306676,1.518246606,733.1870796,15.81119031,13.59982883,14.41632541,11.20350994,8.384914086,9.539614624,6.584958982,7.809703853,4.945997308,5.888495949,3.591444013,4.570164828,-1.46,337590.4434,15.09028565,6.208900656,2.996541901,140.7642864,9.883888252,0,0,5.907179729,0,0,9.694446915,0,11.76188495,0,11.62981856,19.05647134,66.26585888,6.544756406,4.794537184,28.57198961,0,14.78379798,0,19.88931523,37.68473284,35.01993218,0,0,0,0,0,11.76188495,58.37571055,17.76011521,6.9237372,16.82083098,18.19910121,0,10.90292493,0,39.34,0,4.794537184,0,5.907179729,6.544756406,44.10555446,27.72375591,0,16.66179468,35.00672666,0,0,1.985217644,20.54193118,1.284141209,5.095410411,2.585868839,6.530378184,0.935171433,6.375214434,0,0.5,23,1,4,0,2,2,1,1,1,2,0,0,3,1,5,3,2,0,1,1,0,0,4.073655846,4,2.40982,95.9217,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CN1CCN(CC1)C1=C(Cl)C(=O)N(C1=O)c1ccc(Cl)cc1,0.1601,1,12.66701861,12.66701861,0.009719388,-0.483410021,0.771833202,20.31818182,340.21,325.09,339.0541321,116,0,0.282903685,-0.36310989,0.36310989,0.282903685,0.909090909,1.5,2.090909091,35.49679127,10.23923605,2.412063122,-2.337001598,2.315100387,-2.456053602,6.522388366,-0.120663747,2.720693807,1.881949511,649.2563353,15.85300667,12.05189451,13.56375241,10.486071,6.964131819,7.720060765,5.375045224,6.189445478,3.908757306,4.501407266,2.62026655,3.031126544,-1.56,115444.4796,15.34008293,5.911334791,2.600575434,138.2236945,9.799819462,10.72932567,0,0,11.81435946,0,9.589074368,4.899909731,0,0,23.20187978,31.31314026,31.20165894,5.687386275,9.589074368,40.70362551,0,9.799819462,0,0,38.12660734,40.01742725,0,0,4.899909731,5.687386275,0,23.20187978,54.84087653,9.589074368,0,0,34.99479394,5.022633314,0,0,43.86,5.907179729,9.589074368,0,10.93946608,29.49657171,17.98942254,0,24.26546827,11.94758171,4.899909731,23.20187978,0,12.00157974,30.19140686,0.533051165,0.774439038,-0.856673438,6.544494205,0,3.01114176,2.022782899,0.333333333,22,0,5,0,2,2,2,1,0,1,0,0,4,0,7,2,2,0,1,1,0,0,4.121834815,3,1.911,85.894,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cc1ccc(O)c(NC=C2C(=O)c3ccccc3C2=O)c1,0.216,1,12.1886467,12.1886467,0.062832472,-0.296071429,0.503452336,13.28571429,279.295,266.191,279.0895433,104,0,0.198698678,-0.505775386,0.505775386,0.198698678,1,1.619047619,2.238095238,16.25623419,10.11920502,2.320205783,-2.053539526,2.277708868,-2.036496915,6.39043078,0.098831835,2.727863123,1.937296883,753.3722719,14.98276318,11.38251233,11.38251233,10.0753874,6.524589498,6.524589498,4.926785724,4.926785724,3.429631427,3.429631427,2.318911797,2.318911797,-2.88,78660.66102,13.11927275,4.903700082,2.206127548,121.2849138,10.423316,5.749511833,11.56648989,0,0,0,9.589074368,0,0,0,30.33183534,24.61992283,17.32685787,11.2604908,14.69560176,17.25387617,0,0,0,6.9237372,5.316788604,70.92798337,0,5.749511833,5.316788604,5.687386275,5.749511833,0,16.67301729,0,6.9237372,26.27942884,54.2376289,0,0,0,66.4,0,14.69560176,0,22.88910626,16.81428926,5.563451492,6.19995489,42.46456948,6.9237372,5.316788604,0,0,0,24.3772934,12.5903036,2.338196019,-0.529310385,11.80819098,1.360277778,1.888381939,0,0.058823529,21,2,4,1,0,1,0,2,0,2,0,0,4,2,4,0,2,0,0,0,0,0,3.063475185,3,3.07562,79.6525,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nc1nc(cc2c(C#N)c(nc(N)c12)N1CCCC1)N1CCCC1,0.2429,1,9.782491969,9.782491969,0.350807351,0.350807351,0.86803613,17.625,323.404,302.236,323.1858437,124,0,0.149138055,-0.382995318,0.382995318,0.149138055,0.916666667,1.5,2.125,15.21939748,10.06995091,2.235996953,-2.21706944,2.361138541,-2.218757715,6.04658926,0.934798586,3.274324514,1.947519132,818.9235487,16.6814338,13.62497303,13.62497303,11.68587185,8.484859187,8.484859187,6.484019289,6.484019289,4.956813982,4.956813982,3.739754362,3.739754362,-2.75,624285.9861,14.81786056,5.710451843,2.261086865,140.4172088,21.26715442,34.90412392,0,0,0,0,0,9.967957042,5.261891555,0,0,31.74965356,31.56524984,5.386224214,0,34.04389954,5.261891555,9.967957042,0,25.68328649,47.44618004,11.62981856,0,6.069221313,21.26715442,23.27145111,0,0,36.14698267,0,11.33111287,31.24673798,6.066367068,0,10.77244843,0,108.09,0,5.261891555,0,0,28.40326404,63.06639911,0,0,6.066367068,25.83699782,11.46733495,0,0,13.34797934,11.14244,12.89512818,2.206192366,4.277705971,4.53619709,3.761023715,0,0.470588235,24,4,7,0,2,2,0,0,2,2,0,0,7,2,7,4,2,0,2,2,0,0,3.525694964,4,1.86628,95.9718,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Oc1ccc(O)n1-c1ccc(OC(=O)c2ccco2)cc1,0.388,1,11.69583171,11.69583171,0.089971933,-0.597769799,0.570602155,10.47619048,285.255,274.167,285.0637225,106,0,0.379102872,-0.494121767,0.494121767,0.379102872,1,1.666666667,2.238095238,16.54660704,10.26978368,2.120829682,-2.076109216,2.272408808,-2.066397099,5.875556435,0.070110364,3.108109444,1.801525935,736.4752179,14.81962648,10.76253808,10.76253808,10.14786705,6.107625439,6.107625439,4.245863431,4.245863431,2.867503123,2.867503123,1.895337789,1.895337789,-3.15,104991.937,12.86225184,5.085888132,2.461902029,118.9875297,19.36706868,5.749511833,11.75997667,5.760247419,0,5.969305288,4.567099648,4.794537184,0,0,0,36.39820241,12.13273414,11.95054927,24.16160586,5.969305288,0,4.567099648,0,0,0,60.55434696,0,23.19687478,4.736862954,0,17.50948851,0,20.74945973,0,0,10.5547846,59.21125048,0,5.687386275,0,84.83,5.969305288,15.00759197,0,17.52022409,11.43689811,0,29.02936385,30.33183534,0,0,9.154013891,11.30960368,0,11.69583171,19.25942965,0.534997769,-0.341546337,12.15548459,1.386198942,0,0,0,21,2,6,0,0,0,0,1,2,3,0,0,6,2,6,2,3,0,0,0,0,0,3.11504638,3,2.7007,72.7651,0,0,0,0,0,1,0,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COc1cc(NCCCC(C)N)c2ncccc2c1,0.42,1,5.747927413,5.747927413,0.251832063,0.251832063,0.783100936,12.36842105,259.353,238.185,259.1684623,102,0,0.121177572,-0.496662446,0.496662446,0.121177572,1.421052632,2.263157895,3,16.46534209,10.13574578,2.049109088,-2.115757377,2.27075243,-2.15790246,5.913140883,0.415325158,2.424473653,2.157182985,539.9017668,13.66492594,11.51823411,11.51823411,9.2027086,6.626705746,6.626705746,4.796368445,4.796368445,3.065794785,3.065794785,2.064503364,2.064503364,-1.81,22649.43286,13.61771297,6.383967388,3.576723875,113.5256664,15.78731903,5.749511833,0,0,0,0,4.983978521,0,0,0,6.066367068,31.89811458,30.23603209,18.31388453,4.736862954,16.59031121,0,4.983978521,5.733667477,25.80722127,18.97134255,30.46231185,0,5.749511833,15.78731903,5.687386275,5.749511833,0,24.6803733,0,0,19.76538045,30.46231185,0,10.90292493,0,60.17,0,0,0,6.041840829,0,41.72622269,0,7.109797541,37.38604905,10.30076712,10.47053043,5.31970532,0,4.427663927,4.499808254,7.737484292,0.842771217,8.206517995,3.868531221,2.919524702,1.677993073,0.4,19,3,4,0,0,0,0,1,1,2,1,0,4,2,4,1,6,0,0,0,0,1,4.575528184,2,2.7827,79.6681,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Cc1ccc(-c2cc(=O)[nH][nH]2)c(C)c1,0.502,1,10.95502677,10.95502677,0.09724537,-0.09724537,0.70598439,10.42857143,188.23,176.134,188.094963,72,0,0.263981952,-0.297534685,0.297534685,0.263981952,1.071428571,1.857142857,2.428571429,16.13938852,10.03504231,2.029151454,-2.029427024,2.199857599,-1.933295224,5.627917248,1.058410512,2.513362259,2.568452805,508.0012377,10.12939203,8.217649367,8.217649367,6.664703798,4.519508286,4.519508286,3.490639145,3.490639145,2.267880068,2.267880068,1.593076892,1.593076892,-1.77,2098.657486,8.811833472,3.178135835,1.484472674,81.77716562,0,0,0,0,5.559266895,0,14.9919008,0,0,0,23.7625527,19.41092589,11.62981856,5.693927995,0,0,0,10.19736362,0,13.8474744,0,45.74617534,0,11.25737949,5.559266895,0,0,0,10.19736362,0,13.8474744,11.12690298,29.06000546,0,11.25737949,0,48.65,0,4.794537184,0,5.559266895,0,11.25737949,11.12690298,6.066367068,19.05647134,23.18746788,0,0,0,10.95502677,5.372893755,4.199821901,0,7.718001701,0,4.087589207,0,0.181818182,14,2,3,0,0,0,0,1,1,2,0,0,1,2,3,1,1,0,0,0,0,0,2.000371695,2,1.98684,56.3234,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCCC1C(C#N)C(=N)Oc2n[nH]c(c12)C(C)(C)C,0.504,1,9.313817082,9.313817082,0.000717593,-0.508194444,0.856261834,22.57894737,260.341,240.181,260.1637113,102,0,0.242861317,-0.421874222,0.421874222,0.242861317,1.473684211,2.157894737,2.684210526,16.49866101,9.770547367,2.402763072,-2.295044278,2.436897633,-2.311917552,5.834101828,0.400402816,2.72134968,2.560905036,532.621356,14.2067423,11.87158958,11.87158958,8.896395376,6.643782492,6.643782492,6.035685892,6.035685892,3.520020612,3.520020612,2.615200156,2.615200156,-1.83,18004.44948,13.59817044,4.689294274,2.22846286,113.0286731,4.736862954,5.917906046,0,11.77773368,0,0,10.50796541,0,5.261891555,5.098681808,34.11577042,6.420821623,22.590276,6.069221313,4.736862954,5.897745344,10.67117516,10.19736362,5.917906046,51.86948856,0,11.25737949,0,11.94920965,4.736862954,0,5.879988336,0,16.09510896,5.414990469,22.65830252,57.71187758,0,0,0,0,85.55,5.917906046,5.261891555,0,17.23064186,5.879988336,24.09902273,0,0,0,43.96153373,10.14614656,5.4061678,0,0,24.37198507,1.90346986,-0.022537793,2.206723356,1.82332294,8.394202098,0,0.642857143,19,2,5,0,1,1,0,0,1,1,2,0,4,2,5,2,2,0,0,0,0,2,3.356095936,2,3.10035,72.3944,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
